Time PLC_Root PLC_TL Psi_LApo Psi_TApo Psi_LSym Psi_TSym Psi_AllSoil transpiration_mm LAI DFMC LFMCSymp LFMCApo LFMC FMCCanopy SWS1 SWS2 SWS3 SoilEvaporation_mm ETP VPD RG Tair Rn PAR WS RH 
1990-01-0318:00:00 0.0312 0.0313 -0.0356 -0.0351 -0.0366 -0.037 -0.0338 8e-04 6 57.7454 75.2107 75.415 75.2924 75.2924 55.4891 55.5045 55.502 0 0 0.0177 0 -0.8869 0 0 1.5 96.9151 
1990-01-0319:00:00 0.0312 0.0313 -0.0355 -0.035 -0.0364 -0.0368 -0.0338 8e-04 6 57.7489 75.2116 75.415 75.293 75.293 55.4888 55.5043 55.5018 0 0 0.0176 0 -0.9696 0 0 1.5 96.9151 
1990-01-0320:00:00 0.0312 0.0313 -0.0355 -0.035 -0.0364 -0.0367 -0.0338 7e-04 6 57.7525 75.212 75.415 75.2932 75.2932 55.4885 55.5041 55.5015 0 0 0.0174 0 -1.0523 0 0 1.5 96.9151 
1990-01-0321:00:00 0.0312 0.0313 -0.0354 -0.035 -0.0363 -0.0366 -0.0338 7e-04 6 57.756 75.2122 75.415 75.2933 75.2933 55.4883 55.5039 55.5013 0 0 0.0173 0 -1.135 0 0 1.5 96.9151 
1990-01-0322:00:00 0.0312 0.0313 -0.0354 -0.035 -0.0363 -0.0366 -0.0338 7e-04 6 57.7596 75.2123 75.415 75.2933 75.2933 55.488 55.5037 55.501 0 0 0.0172 0 -1.2177 0 0 1.5 96.9151 
1990-01-0323:00:00 0.0312 0.0313 -0.0354 -0.035 -0.0363 -0.0366 -0.0338 7e-04 6 57.7631 75.2124 75.415 75.2934 75.2934 55.4878 55.5034 55.5008 0 0 0.0171 0 -1.3004 0 0 1.5 96.9151 
1990-01-0400:00:00 0.0312 0.0313 -0.0354 -0.035 -0.0363 -0.0365 -0.0338 7e-04 6 57.7665 75.2126 75.415 75.2935 75.2935 55.4876 55.5032 55.5006 0 0 0.017 0 -1.3826 0 0 1.2 96.9151 
1990-01-0401:00:00 0.0312 0.0313 -0.0354 -0.035 -0.0363 -0.0365 -0.0339 7e-04 6 57.77 75.2127 75.415 75.2936 75.2936 55.4873 55.503 55.5003 0 0 0.0169 0 -1.4651 0 0 1.2 96.9151 
1990-01-0402:00:00 0.0312 0.0313 -0.0354 -0.035 -0.0362 -0.0365 -0.0339 7e-04 6 57.7734 75.2128 75.415 75.2936 75.2936 55.4871 55.5028 55.5001 0 0 0.0168 0 -1.5477 0 0 1.2 96.9151 
1990-01-0403:00:00 0.0312 0.0313 -0.0354 -0.035 -0.0362 -0.0365 -0.0339 7e-04 6 57.7768 75.2129 75.415 75.2937 75.2937 55.4869 55.5026 55.4999 0 0 0.0167 0 -1.6302 0 0 1.2 96.9151 
1990-01-0404:00:00 0.0312 0.0313 -0.0354 -0.035 -0.0362 -0.0365 -0.0339 7e-04 6 57.7803 75.2129 75.415 75.2937 75.2937 55.4866 55.5024 55.4997 0 0 0.0166 0 -1.7128 0 0 1.2 96.9151 
1990-01-0405:00:00 0.0312 0.0313 -0.0354 -0.035 -0.0362 -0.0365 -0.0339 7e-04 6 57.7836 75.213 75.415 75.2938 75.2938 55.4864 55.5022 55.4994 0 0 0.0165 0 -1.7953 0 0 1.2 96.9151 
1990-01-0406:00:00 0.0312 0.0313 -0.0354 -0.035 -0.0362 -0.0365 -0.0339 6e-04 6 57.787 75.2131 75.415 75.2938 75.2938 55.4862 55.502 55.4992 0 0 0.0164 0 -1.8778 0 0 1.2 96.9151 
1990-01-0407:00:00 0.0312 0.0313 -0.0354 -0.035 -0.0362 -0.0365 -0.0339 6e-04 6 57.7904 75.2132 75.415 75.2939 75.2939 55.486 55.5018 55.499 0 0 0.0163 0 -1.9604 0 0 1.2 96.9151 
1990-01-0408:00:00 0.0312 0.0313 -0.0354 -0.035 -0.0362 -0.0365 -0.0339 6e-04 6 57.7905 75.2132 75.415 75.2939 75.2939 55.4857 55.5016 55.4988 0 0.0011 0.0163 0.0458 -1.965 0.0064 29.2313 1.2 96.9151 
1990-01-0409:00:00 0.0312 0.0313 -0.0361 -0.0354 -0.0374 -0.0367 -0.0339 8e-04 6 57.7804 75.2058 75.415 75.2894 75.2894 55.4853 55.5014 55.4985 1e-04 0.0029 0.0166 0.121 -1.7169 0.0169 77.2862 1.2 96.9151 
1990-01-0410:00:00 0.0312 0.0313 -0.037 -0.036 -0.0389 -0.0372 -0.0339 0.0012 6 57.7632 75.196 75.415 75.2836 75.2836 55.4847 55.501 55.4981 2e-04 0.0043 0.0171 0.1752 -1.3048 0.0244 111.9318 1.2 96.9151 
1990-01-0411:00:00 0.0312 0.0313 -0.0377 -0.0365 -0.04 -0.0377 -0.034 0.0014 6 57.7442 75.1891 75.415 75.2795 75.2795 55.4839 55.5006 55.4977 2e-04 0.0051 0.0177 0.2047 -0.8594 0.0285 130.807 1.2 96.9151 
1990-01-0412:00:00 0.0312 0.0313 -0.0381 -0.0368 -0.0407 -0.0382 -0.034 0.0017 6 57.7294 75.1847 75.415 75.2768 75.2768 55.4829 55.5002 55.4971 3e-04 0.0053 0.0181 0.2076 -0.5221 0.0289 132.6256 1.2 96.9151 
1990-01-0413:00:00 0.0312 0.0313 -0.0383 -0.037 -0.0411 -0.0385 -0.034 0.0018 6 57.7239 75.1827 75.415 75.2756 75.2756 55.482 55.4997 55.4966 2e-04 0.0047 0.0183 0.1835 -0.4001 0.0256 117.2637 1.2 96.9151 
1990-01-0414:00:00 0.0312 0.0313 -0.0383 -0.037 -0.041 -0.0386 -0.034 0.0018 6 57.7298 75.1833 75.415 75.276 75.276 55.4811 55.4992 55.496 2e-04 0.0034 0.0181 0.1342 -0.532 0.0187 85.768 1.2 96.9151 
1990-01-0415:00:00 0.0312 0.0313 -0.038 -0.0368 -0.0404 -0.0385 -0.0341 0.0017 6 57.7449 75.1871 75.415 75.2782 75.2782 55.4802 55.4987 55.4955 1e-04 0.0016 0.0177 0.0631 -0.876 0.0088 40.285 1.2 96.9151 
1990-01-0416:00:00 0.0312 0.0313 -0.0372 -0.0363 -0.0391 -0.0381 -0.0341 0.0014 6 57.7584 75.1951 75.415 75.283 75.283 55.4796 55.4983 55.495 0 0 0.0173 0 -1.1914 0 0 1.2 96.9151 
1990-01-0417:00:00 0.0312 0.0313 -0.0361 -0.0355 -0.0372 -0.0376 -0.0341 0.001 6 57.7571 75.2069 75.415 75.2901 75.2901 55.4793 55.498 55.4947 0 0 0.0173 0 -1.1597 0 0 1.2 96.9151 
1990-01-0418:00:00 0.0312 0.0313 -0.0358 -0.0353 -0.0367 -0.0372 -0.0341 8e-04 6 57.7557 75.2097 75.415 75.2918 75.2918 55.479 55.4978 55.4944 0 0 0.0173 0 -1.1279 0 0 1.2 96.9151 
1990-01-0419:00:00 0.0312 0.0313 -0.0357 -0.0353 -0.0366 -0.037 -0.0341 7e-04 6 57.7544 75.2103 75.415 75.2922 75.2922 55.4788 55.4976 55.4942 0 0 0.0174 0 -1.0962 0 0 1.2 96.9151 
1990-01-0420:00:00 0.0312 0.0313 -0.0357 -0.0353 -0.0366 -0.0369 -0.0341 7e-04 6 57.753 75.2105 75.415 75.2923 75.2923 55.4785 55.4973 55.4939 0 0 0.0174 0 -1.0644 0 0 1.2 96.9151 
1990-01-0421:00:00 0.0312 0.0313 -0.0357 -0.0353 -0.0366 -0.0369 -0.0341 7e-04 6 57.7517 75.2105 75.415 75.2923 75.2923 55.4783 55.4971 55.4937 0 0 0.0175 0 -1.0327 0 0 1.2 96.9151 
1990-01-0422:00:00 0.0312 0.0313 -0.0357 -0.0353 -0.0366 -0.0369 -0.0341 7e-04 6 57.7503 75.2104 75.415 75.2922 75.2922 55.4781 55.4969 55.4934 0 0 0.0175 0 -1.001 0 0 1.2 96.9151 
1990-01-0423:00:00 0.0312 0.0313 -0.0357 -0.0353 -0.0366 -0.0369 -0.0341 7e-04 6 57.7489 75.2103 75.415 75.2922 75.2922 55.4778 55.4967 55.4932 0 0 0.0176 0 -0.9692 0 0 1.2 96.9151 
1990-01-0500:00:00 0.0312 0.0313 -0.0356 -0.0351 -0.0367 -0.0369 -0.0338 8e-04 6 57.6755 75.2101 75.415 75.2921 75.2921 55.4974 55.4965 55.493 0 0 0.0197 0 -0.9376 0 0 1.4 96.5377 
1990-01-0501:00:00 0.0312 0.0313 -0.0357 -0.0352 -0.0367 -0.0369 -0.0338 8e-04 6 57.674 75.21 75.415 75.292 75.292 55.497 55.4963 55.4928 0 0 0.0198 0 -0.906 0 0 1.4 96.5377 
1990-01-0502:00:00 0.0312 0.0313 -0.0357 -0.0352 -0.0367 -0.037 -0.0338 8e-04 6 57.6725 75.2099 75.415 75.2919 75.2919 55.4966 55.4961 55.4925 0 0 0.0198 0 -0.8743 0 0 1.4 96.5377 
1990-01-0503:00:00 0.0312 0.0313 -0.0357 -0.0352 -0.0367 -0.037 -0.0339 8e-04 6 57.6709 75.2097 75.415 75.2918 75.2918 55.4962 55.4959 55.4923 0 0 0.0199 0 -0.8426 0 0 1.4 96.5377 
